id,treatment,type,fraction,rep,test,lipid,area,info
1_f1_a,old,sample,1,a,first,C14:0,13504175653,"* two experiments were done, which are grouped in column ‘test’:"
1_f1_a,old,sample,1,a,first,C15:0,15288467129,* FIRST TEST:
1_f1_a,old,sample,1,a,first,C16:0,1768089914,* consisted of the three eluent treatments (see Table 1 in paper) of
1_f1_a,old,sample,1,a,first,C17:0,50429178,* - classical eluents (“old”)
1_f1_a,old,sample,1,a,first,C18:2,33773740,* - adjusted eluents (“with_ethanol”)
1_f1_a,old,sample,1,a,first,C18:3,211739568,* - acetone
1_f1_a,old,sample,1,a,first,DHC,1326306691,* The only difference to Table 1 is that the adjusted eluent volume for PL was 0.5 ml
1_f1_a,old,sample,1,a,first,Ergosterol,1078045792,* SECOND TEST
1_f1_b,old,sample,1,b,first,C14:0,10522652368,* only adjusted eluents used
1_f1_b,old,sample,1,b,first,C15:0,12315485448,* eluent volume for PL was changed to 1 ml (as shown in Table 1)
1_f1_b,old,sample,1,b,first,C16:0,2211988328,
1_f1_b,old,sample,1,b,first,C17:0,61576000,"* External standards were not fractionated on silica SPE, and are used to calculate % recovery"
1_f1_b,old,sample,1,b,first,C18:2,36619894,
1_f1_b,old,sample,1,b,first,C18:3,209807354,
1_f1_b,old,sample,1,b,first,DHC,1763917026,
1_f1_b,old,sample,1,b,first,Ergosterol,1405856539,
1_f1_c,old,sample,1,c,first,C14:0,10010185670,
1_f1_c,old,sample,1,c,first,C15:0,11783008386,
1_f1_c,old,sample,1,c,first,C16:0,1681146158,
1_f1_c,old,sample,1,c,first,C17:0,38970792,
1_f1_c,old,sample,1,c,first,C18:2,25815982,
1_f1_c,old,sample,1,c,first,C18:3,170243863,
1_f1_c,old,sample,1,c,first,DHC,1465252716,
1_f1_c,old,sample,1,c,first,Ergosterol,1135445096,
1_f2_a,old,sample,2,a,first,C14:0,5469293373,
1_f2_a,old,sample,2,a,first,C15:0,4222220728,
1_f2_a,old,sample,2,a,first,C16:0,15388961729,
1_f2_a,old,sample,2,a,first,C16:1,243364245,
1_f2_a,old,sample,2,a,first,C16:3,6598343309,
1_f2_a,old,sample,2,a,first,C17:0,303882925,
1_f2_a,old,sample,2,a,first,C18:2,560111698,
1_f2_a,old,sample,2,a,first,C18:3,10276600888,
1_f2_a,old,sample,2,a,first,C19:0,90001112,
1_f2_a,old,sample,2,a,first,DHC,3100577976,
1_f2_a,old,sample,2,a,first,Ergosterol,2562528357,
1_f2_b,old,sample,2,b,first,C14:0,8682289554,
1_f2_b,old,sample,2,b,first,C15:0,7693701214,
1_f2_b,old,sample,2,b,first,C16:0,16492378169,
1_f2_b,old,sample,2,b,first,C16:1,230031977,
1_f2_b,old,sample,2,b,first,C16:3,6237127383,
1_f2_b,old,sample,2,b,first,C17:0,310777441,
1_f2_b,old,sample,2,b,first,C18:2,528447002,
1_f2_b,old,sample,2,b,first,C18:3,9544690050,
1_f2_b,old,sample,2,b,first,C19:0,92585285,
1_f2_b,old,sample,2,b,first,DHC,2723849198,
1_f2_b,old,sample,2,b,first,Ergosterol,2236966835,
1_f2_c,old,sample,2,c,first,C14:0,6020857509,
1_f2_c,old,sample,2,c,first,C15:0,4930632167,
1_f2_c,old,sample,2,c,first,C16:0,14792319585,
1_f2_c,old,sample,2,c,first,C16:1,205942431,
1_f2_c,old,sample,2,c,first,C16:3,5520113734,
1_f2_c,old,sample,2,c,first,C17:0,287397201,
1_f2_c,old,sample,2,c,first,C18:2,479633771,
1_f2_c,old,sample,2,c,first,C18:3,8617818667,
1_f2_c,old,sample,2,c,first,C19:0,95216612,
1_f2_c,old,sample,2,c,first,DHC,2362514660,
1_f2_c,old,sample,2,c,first,Ergosterol,1935352179,
1_f3_a,old,sample,3,a,first,C14:0,21113742,
1_f3_a,old,sample,3,a,first,C15:0,41157182,
1_f3_a,old,sample,3,a,first,C16:0,16136815990,
1_f3_a,old,sample,3,a,first,C16:1,9889992,
1_f3_a,old,sample,3,a,first,C16:3,211997956,
1_f3_a,old,sample,3,a,first,C17:0,4464574863,
1_f3_a,old,sample,3,a,first,C18:2,65801047,
1_f3_a,old,sample,3,a,first,C18:3,423709499,
1_f3_a,old,sample,3,a,first,C19:0,10038711407,
1_f3_b,old,sample,3,b,first,C14:0,22113693,
1_f3_b,old,sample,3,b,first,C15:0,43603157,
1_f3_b,old,sample,3,b,first,C16:0,15194458965,
1_f3_b,old,sample,3,b,first,C16:1,8077064,
1_f3_b,old,sample,3,b,first,C16:3,190551299,
1_f3_b,old,sample,3,b,first,C17:0,4024079275,
1_f3_b,old,sample,3,b,first,C18:2,58791773,
1_f3_b,old,sample,3,b,first,C18:3,358177029,
1_f3_b,old,sample,3,b,first,C19:0,9408923384,
1_f3_c,old,sample,3,c,first,C14:0,16962191,
1_f3_c,old,sample,3,c,first,C15:0,32016616,
1_f3_c,old,sample,3,c,first,C16:0,13833336632,
1_f3_c,old,sample,3,c,first,C16:1,8640463,
1_f3_c,old,sample,3,c,first,C16:3,181703110,
1_f3_c,old,sample,3,c,first,C17:0,3761006240,
1_f3_c,old,sample,3,c,first,C18:2,63051205,
1_f3_c,old,sample,3,c,first,C18:3,349114495,
1_f3_c,old,sample,3,c,first,C19:0,8224715359,
2_f1_a,with_ethanol,sample,1,a,first,C14:0,19267114373,
2_f1_a,with_ethanol,sample,1,a,first,C15:0,20230461970,
2_f1_a,with_ethanol,sample,1,a,first,C16:0,16782008609,
2_f1_a,with_ethanol,sample,1,a,first,C16:3,171507781,
2_f1_a,with_ethanol,sample,1,a,first,C17:0,393400678,
2_f1_a,with_ethanol,sample,1,a,first,C18:2,87223604,
2_f1_a,with_ethanol,sample,1,a,first,C18:3,616679326,
2_f1_a,with_ethanol,sample,1,a,first,C19:0,233955121,
2_f1_a,with_ethanol,sample,1,a,first,DHC,5041096634,
2_f1_a,with_ethanol,sample,1,a,first,Ergosterol,4216287285,
2_f1_b,with_ethanol,sample,1,b,first,C14:0,16627798067,
2_f1_b,with_ethanol,sample,1,b,first,C15:0,17557934600,
2_f1_b,with_ethanol,sample,1,b,first,C16:0,14587659561,
2_f1_b,with_ethanol,sample,1,b,first,C17:0,337280987,
2_f1_b,with_ethanol,sample,1,b,first,C18:2,71205602,
2_f1_b,with_ethanol,sample,1,b,first,C18:3,423233448,
2_f1_b,with_ethanol,sample,1,b,first,C19:0,202873062,
2_f1_b,with_ethanol,sample,1,b,first,DHC,4097885881,
2_f1_b,with_ethanol,sample,1,b,first,Ergosterol,3392998912,
2_f2_a,with_ethanol,sample,2,a,first,C14:0,90752229,
2_f2_a,with_ethanol,sample,2,a,first,C15:0,82420941,
2_f2_a,with_ethanol,sample,2,a,first,C16:0,2631989730,
2_f2_a,with_ethanol,sample,2,a,first,C16:1,231998935,
2_f2_a,with_ethanol,sample,2,a,first,C16:3,6185202211,
2_f2_a,with_ethanol,sample,2,a,first,C17:0,71251581,
2_f2_a,with_ethanol,sample,2,a,first,C18:2,497456595,
2_f2_a,with_ethanol,sample,2,a,first,C18:3,9821686325,
2_f2_a,with_ethanol,sample,2,a,first,C19:0,81145140,
2_f2_b,with_ethanol,sample,2,b,first,C14:0,77668081,
2_f2_b,with_ethanol,sample,2,b,first,C15:0,79080584,
2_f2_b,with_ethanol,sample,2,b,first,C16:0,2613313322,
2_f2_b,with_ethanol,sample,2,b,first,C16:1,218440482,
2_f2_b,with_ethanol,sample,2,b,first,C16:3,5851762246,
2_f2_b,with_ethanol,sample,2,b,first,C17:0,64603960,
2_f2_b,with_ethanol,sample,2,b,first,C18:2,477764000,
2_f2_b,with_ethanol,sample,2,b,first,C18:3,9372469089,
2_f2_b,with_ethanol,sample,2,b,first,C19:0,54918471,
2_f3_a,with_ethanol,sample,3,a,first,C14:0,18075679,
2_f3_a,with_ethanol,sample,3,a,first,C15:0,32366561,
2_f3_a,with_ethanol,sample,3,a,first,C16:0,15877590116,
2_f3_a,with_ethanol,sample,3,a,first,C16:1,9851854,
2_f3_a,with_ethanol,sample,3,a,first,C16:3,212801697,
2_f3_a,with_ethanol,sample,3,a,first,C17:0,4227367452,
2_f3_a,with_ethanol,sample,3,a,first,C18:2,67243113,
2_f3_a,with_ethanol,sample,3,a,first,C18:3,429755389,
2_f3_a,with_ethanol,sample,3,a,first,C19:0,9866809454,
2_f3_b,with_ethanol,sample,3,b,first,C14:0,14899895,
2_f3_b,with_ethanol,sample,3,b,first,C15:0,27618930,
2_f3_b,with_ethanol,sample,3,b,first,C16:0,14022019756,
2_f3_b,with_ethanol,sample,3,b,first,C16:1,8361692,
2_f3_b,with_ethanol,sample,3,b,first,C16:3,182711733,
2_f3_b,with_ethanol,sample,3,b,first,C17:0,3800841169,
2_f3_b,with_ethanol,sample,3,b,first,C18:2,65386512,
2_f3_b,with_ethanol,sample,3,b,first,C18:3,369763120,
2_f3_b,with_ethanol,sample,3,b,first,C19:0,8814777569,
3_f1_a,acetone,sample,1,a,first,C14:0,17710174890,
3_f1_a,acetone,sample,1,a,first,C15:0,18778407188,
3_f1_a,acetone,sample,1,a,first,C16:0,15855307035,
3_f1_a,acetone,sample,1,a,first,C16:1,253929283,
3_f1_a,acetone,sample,1,a,first,C16:3,7296567911,
3_f1_a,acetone,sample,1,a,first,C17:0,333245749,
3_f1_a,acetone,sample,1,a,first,C18:2,586279337,
3_f1_a,acetone,sample,1,a,first,C18:3,10870038021,
3_f1_a,acetone,sample,1,a,first,C19:0,152667600,
3_f1_a,acetone,sample,1,a,first,DHC,4008246188,
3_f1_a,acetone,sample,1,a,first,Ergosterol,3263756814,
3_f1_b,acetone,sample,1,b,first,C14:0,15377801207,
3_f1_b,acetone,sample,1,b,first,C15:0,16239937113,
3_f1_b,acetone,sample,1,b,first,C16:0,13515241984,
3_f1_b,acetone,sample,1,b,first,C16:1,215188725,
3_f1_b,acetone,sample,1,b,first,C16:3,6096121764,
3_f1_b,acetone,sample,1,b,first,C17:0,280285724,
3_f1_b,acetone,sample,1,b,first,C18:2,501832613,
3_f1_b,acetone,sample,1,b,first,C18:3,9173409443,
3_f1_b,acetone,sample,1,b,first,C19:0,133163789,
3_f1_b,acetone,sample,1,b,first,DHC,3583566057,
3_f1_b,acetone,sample,1,b,first,Ergosterol,2846060431,
3_f1_c,acetone,sample,1,c,first,C14:0,15472139484,
3_f1_c,acetone,sample,1,c,first,C15:0,16346900455,
3_f1_c,acetone,sample,1,c,first,C16:0,11162475103,
3_f1_c,acetone,sample,1,c,first,C16:1,213405060,
3_f1_c,acetone,sample,1,c,first,C16:3,6165058629,
3_f1_c,acetone,sample,1,c,first,C17:0,246558479,
3_f1_c,acetone,sample,1,c,first,C18:2,495121493,
3_f1_c,acetone,sample,1,c,first,C18:3,9303524572,
3_f1_c,acetone,sample,1,c,first,C19:0,128163976,
3_f1_c,acetone,sample,1,c,first,DHC,3712536532,
3_f1_c,acetone,sample,1,c,first,Ergosterol,3031956436,
3_f2_a,acetone,sample,2,a,first,C14:0,90409854,
3_f2_a,acetone,sample,2,a,first,C15:0,91967450,
3_f2_a,acetone,sample,2,a,first,C16:0,462643418,
3_f2_a,acetone,sample,2,a,first,C16:1,5940530,
3_f2_a,acetone,sample,2,a,first,C16:3,201250926,
3_f2_a,acetone,sample,2,a,first,C17:0,12964689,
3_f2_a,acetone,sample,2,a,first,C18:2,89964735,
3_f2_a,acetone,sample,2,a,first,C18:3,305119889,
3_f2_a,acetone,sample,2,a,first,C19:0,36626721,
3_f2_b,acetone,sample,2,b,first,C14:0,79917474,
3_f2_b,acetone,sample,2,b,first,C15:0,89295672,
3_f2_b,acetone,sample,2,b,first,C16:0,304150682,
3_f2_b,acetone,sample,2,b,first,C16:3,165749309,
3_f2_b,acetone,sample,2,b,first,C17:0,8023141,
3_f2_b,acetone,sample,2,b,first,C18:2,84753233,
3_f2_b,acetone,sample,2,b,first,C18:3,257424361,
3_f2_b,acetone,sample,2,b,first,C19:0,34353947,
3_f2_c,acetone,sample,2,c,first,C14:0,107190772,
3_f2_c,acetone,sample,2,c,first,C15:0,115642592,
3_f2_c,acetone,sample,2,c,first,C16:0,321228291,
3_f2_c,acetone,sample,2,c,first,C16:3,162236225,
3_f2_c,acetone,sample,2,c,first,C17:0,8226657,
3_f2_c,acetone,sample,2,c,first,C18:2,77247846,
3_f2_c,acetone,sample,2,c,first,C18:3,260329150,
3_f3_a,acetone,sample,3,a,first,C14:0,33354854,
3_f3_a,acetone,sample,3,a,first,C15:0,63685947,
3_f3_a,acetone,sample,3,a,first,C16:0,16243734754,
3_f3_a,acetone,sample,3,a,first,C16:3,94797948,
3_f3_a,acetone,sample,3,a,first,C17:0,4450652791,
3_f3_a,acetone,sample,3,a,first,C18:2,68163515,
3_f3_a,acetone,sample,3,a,first,C18:3,231773830,
3_f3_a,acetone,sample,3,a,first,C19:0,10173629399,
3_f3_b,acetone,sample,3,b,first,C14:0,27205975,
3_f3_b,acetone,sample,3,b,first,C15:0,58877893,
3_f3_b,acetone,sample,3,b,first,C16:0,13356837520,
3_f3_b,acetone,sample,3,b,first,C16:3,80687640,
3_f3_b,acetone,sample,3,b,first,C17:0,3863804370,
3_f3_b,acetone,sample,3,b,first,C18:2,56233847,
3_f3_b,acetone,sample,3,b,first,C18:3,189525746,
3_f3_b,acetone,sample,3,b,first,C19:0,8122743911,
3_f3_c,acetone,sample,3,c,first,C14:0,22365467,
3_f3_c,acetone,sample,3,c,first,C15:0,47079092,
3_f3_c,acetone,sample,3,c,first,C16:0,11861635388,
3_f3_c,acetone,sample,3,c,first,C16:3,68815578,
3_f3_c,acetone,sample,3,c,first,C17:0,3353933133,
3_f3_c,acetone,sample,3,c,first,C18:2,66602195,
3_f3_c,acetone,sample,3,c,first,C18:3,200549955,
3_f3_c,acetone,sample,3,c,first,C19:0,7229184436,
Blk_1_f1_a,old,blk,1,a,first,C14:0,4371576,
Blk_1_f1_a,old,blk,1,a,first,C15:0,20830246,
Blk_1_f1_a,old,blk,1,a,first,C16:0,1306377064,
